CT,Boro,Turnover
061600,Kings,7.8
061800,Kings,1.7
062200,Kings,5.4
062600,Kings,6.2
062800,Kings,4.3
063200,Kings,12.4
063600,Kings,0.0
063800,Kings,2.0
064000,Kings,0.0
064200,Kings,3.7
064400,Kings,9.7
064600,Kings,6.1
064800,Kings,11.6
065000,Kings,9.6
065200,Kings,8.2
065400,Kings,3.2
065600,Kings,3.0
065800,Kings,0.5
066000,Kings,2.2
066200,Kings,3.7
066600,Kings,0.0
067000,Kings,4.0
067200,Kings,12.1
067400,Kings,1.2
067600,Kings,6.6
067800,Kings,7.8
068000,Kings,1.4
068200,Kings,7.0
068600,Kings,3.0
068800,Kings,5.3
069000,Kings,2.1
069200,Kings,4.6
069600,Kings,4.5
069800,Kings,17.4
070000,Kings,3.7
070201,Kings,8.0
070202,Kings,0.0
070203,Kings,0.0
070600,Kings,2.0
072000,Kings,9.6
072200,Kings,2.7
072400,Kings,0.5
072600,Kings,0.5
072800,Kings,2.8
073000,Kings,5.5
073200,Kings,1.3
073400,Kings,3.0
073600,Kings,7.6
073800,Kings,10.6
074000,Kings,6.1
074200,Kings,3.0
074400,Kings,3.2
074600,Kings,4.8
074800,Kings,13.0
075000,Kings,1.8
075200,Kings,10.2
075400,Kings,1.3
075600,Kings,2.2
075800,Kings,6.5
076000,Kings,1.6
076200,Kings,6.2
076400,Kings,8.9
076600,Kings,2.5
077000,Kings,9.4
077200,Kings,3.2
077400,Kings,5.3
077600,Kings,9.1
078000,Kings,6.5
078200,Kings,8.6
078400,Kings,1.4
078600,Kings,9.7
078800,Kings,6.1
079000,Kings,9.9
079200,Kings,9.1
079400,Kings,6.1
079600,Kings,10.9
079800,Kings,9.7
080000,Kings,12.4
080200,Kings,9.2
080400,Kings,17.4
080600,Kings,9.9
081000,Kings,12.9
081200,Kings,30.2
081400,Kings,6.4
081600,Kings,5.0
081800,Kings,7.5
082000,Kings,6.9
082200,Kings,10.8
082400,Kings,7.6
082600,Kings,9.8
082800,Kings,7.9
083000,Kings,20.8
083200,Kings,9.4
083400,Kings,1.6
083600,Kings,11.5
083800,Kings,8.9
084000,Kings,1.9
084200,Kings,0.0
084400,Kings,8.8
084600,Kings,5.4
084800,Kings,4.1
085000,Kings,0.0
085200,Kings,0.0
085400,Kings,8.2
085600,Kings,4.5
085800,Kings,3.4
086000,Kings,7.0
086200,Kings,5.1
086400,Kings,4.4
086600,Kings,4.7
086800,Kings,12.5
087000,Kings,4.4
087200,Kings,8.1
087401,Kings,7.5
087402,Kings,0.0
087600,Kings,2.5
087800,Kings,9.7
088000,Kings,6.9
088200,Kings,3.9
088400,Kings,6.8
088600,Kings,3.2
088800,Kings,8.1
089000,Kings,10.6
089200,Kings,11.3
089400,Kings,22.3
089600,Kings,5.9
089800,Kings,6.2
090000,Kings,9.9
090200,Kings,22.2
090400,Kings,1.6
090600,Kings,10.6
090800,Kings,3.6
091000,Kings,5.0
091200,Kings,4.7
091400,Kings,2.7
091600,Kings,12.1
091800,Kings,5.8
092000,Kings,7.8
092200,Kings,7.5
092800,Kings,4.5
093000,Kings,6.6
093400,Kings,3.4
093600,Kings,4.0
093800,Kings,7.0
094000,Kings,2.1
094200,Kings,0.0
094401,Kings,6.0
094402,Kings,2.3
095000,Kings,2.5
095400,Kings,6.2
095600,Kings,8.2
095800,Kings,8.8
096000,Kings,0.0
096200,Kings,4.6
096400,Kings,6.4
096600,Kings,14.8
096800,Kings,2.5
097000,Kings,3.3
097400,Kings,20.9
098200,Kings,3.3
098400,Kings,2.3
098600,Kings,3.0
098800,Kings,9.2
099000,Kings,2.7
099200,Kings,1.2
099400,Kings,10.9
099600,Kings,3.0
099800,Kings,7.8
100400,Kings,0.4
100600,Kings,3.5
100800,Kings,8.9
101000,Kings,9.5
101200,Kings,4.4
101400,Kings,9.3
101600,Kings,4.0
101800,Kings,7.3
102000,Kings,2.5
102200,Kings,8.9
102400,Kings,3.5
102600,Kings,4.3
102800,Kings,8.4
103400,Kings,4.0
105800,Kings,2.5
107000,Kings,9.3
107800,Kings,4.7
109800,Kings,22.4
110000,Kings,12.5
110200,Kings,10.7
110600,Kings,3.6
111000,Kings,3.2
111200,Kings,5.2
111400,Kings,12.2
111800,Kings,10.2
112000,Kings,8.2
112200,Kings,12.0
112400,Kings,11.9
112600,Kings,7.2
112800,Kings,9.6
113000,Kings,12.6
113200,Kings,5.1
113400,Kings,23.2
113600,Kings,0.0
113800,Kings,11.9
114000,Kings,0.8
114201,Kings,18.8
114202,Kings,13.1
114600,Kings,8.3
114800,Kings,30.4
115000,Kings,14.4
115200,Kings,5.0
115400,Kings,10.9
115600,Kings,9.8
115800,Kings,5.8
116000,Kings,8.9
116200,Kings,5.8
116400,Kings,17.6
